Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
2022-11-07,N,Utah Valley,WAC,Utah St.,A,"L, 75-58",89.2,89.6,72.1,80.5,35.2,12.5,15.9,32.8,104.1,51.6,13.9,27,25,48.8,-6
2022-11-07,N,Manhattan,MAAC,VCU,A,"L, 73-56",85.6,98.4,73.2,76.5,57.3,36.9,4.3,34.1,99.8,50,19.1,27.5,61.1,16.7,-12
2022-11-07,N,Florida,SEC,Stony Brook,H,"W, 81-45",103.8,75.5,70.4,115.1,55.7,14.2,30.3,29.5,64,36.5,25.6,12.8,25,97.5,16
2022-11-07,N,Syracuse,ACC,Lehigh,H,"W, 90-72",118.7,108.1,72.9,123.4,60,17.8,35.7,56.4,98.7,49.2,16.4,21.6,20.6,74.6,10
2022-11-07,N,Air Force,MWC,Bowling Green,A,"L, 62-58",79,90.4,69,84.1,50.9,20.3,9.1,7.3,89.9,44.6,18.9,22.2,33.9,17.4,-3
2022-11-07,N,BYU,WCC,Idaho St.,H,"W, 60-56",73.7,76.7,76.8,78.1,39.8,29.9,32.5,32.2,72.9,46,28.6,9.4,28,38.7,1
2022-11-07,N,South Dakota St.,Sum,Akron,A,"L, 81-80",110.7,101.4,66.6,106.8,55.9,17.4,17.9,28.8,108.2,51.4,12,22.5,17.4,73.4,2
2022-11-07,N,Santa Clara,WCC,Eastern Washington,H,"W, 84-72",95.7,85.7,82.4,101.9,43.3,12.1,30.6,32,87.3,46.1,19.4,14.6,31.2,78,3
2022-11-07,N,Texas A&M Corpus Chr,Slnd,Mississippi St.,A,"L, 63-44",82.7,83.5,68.6,64.2,37.5,30.6,23.7,3.6,91.9,47.5,23.3,35.1,22,47.3,0
2022-11-07,N,Wisconsin,B10,South Dakota,H,"W, 85-59",109.8,94.7,68,125,61.8,14.7,21.2,41.8,86.8,42.1,14.7,21.1,29.8,84.5,9
2022-11-07,N,VMI,SC,Richmond,A,"L, 69-48",78.5,100.1,66.7,72,30.5,18,30,21.9,103.4,52,15,27.3,56.9,5.8,-7
2022-11-07,N,Robert Morris,Horz,Ohio St.,A,"L, 91-53",88,108.6,70,75.7,34.9,15.7,27.7,27,130,63.9,20,50,34.4,8.2,-10
2022-11-07,N,Washington St.,P12,Texas St.,H,"W, 83-61",119.7,100.1,64.9,127.9,60.9,18.5,45.2,43.6,94,49,17,24.2,52,88.7,7
2022-11-07,N,UT Arlington,WAC,Oklahoma St.,A,"L, 77-66",96.6,98.6,76.3,86.4,39,24.9,33.3,42.4,100.9,48.3,22.3,36.8,45,44.3,-10
2022-11-07,N,Northwestern St.,Slnd,Texas Tech,A,"L, 73-49",78.9,102.7,66.5,73.7,35.8,21.1,31.2,1.5,109.8,59.8,30.1,38.5,47.8,4.7,-16
2022-11-07,N,Central Connecticut,NEC,Massachusetts,A,"L, 94-67",99.7,125.9,73.3,91.4,47.7,17.7,22,9.1,128.3,59.9,17.7,44.4,16.9,6.4,-7
2022-11-07,N,Maryland,B10,Niagara,H,"W, 71-49",114.8,93.9,57.2,124.1,57.8,17.5,42.3,27.5,85.6,40,21,38.2,14.5,90.9,9
2022-11-07,N,Coppin St.,MEAC,Charlotte,A,"L, 82-59",90.5,108.8,70.3,84,43.5,17.1,9.1,31.5,116.7,58.9,15.7,24.2,39.3,10.7,-8
2022-11-07,N,Indiana,B10,Morehead St.,H,"W, 88-53",115.2,84.9,71.7,122.8,64.4,14,22.2,35.6,73.9,45.4,29.3,20.6,9.3,97.1,10
2022-11-07,N,Lindenwood,OVC,Dayton,A,"L, 73-46",76.9,100,66.9,68.7,36.4,16.4,14.6,25.5,109,52,13.4,21.9,58.8,4.6,-13
2022-11-07,N,Florida St.,ACC,Stetson,H,"L, 83-74",104.3,121.8,64.7,114.4,50.8,13.9,36.8,45.8,128.3,59,12.4,40,26.2,14.4,-7
2022-11-07,N,Arkansas,SEC,North Dakota St.,H,"W, 76-58",98,82.4,73.4,103.5,52.6,15,17.6,40.4,79,38.4,19.1,17.1,41.1,87.9,9
2022-11-07,N,North Dakota St.,Sum,Arkansas,A,"L, 76-58",91.4,93.7,73.4,79,38.4,19.1,17.1,41.1,103.5,52.6,15,17.6,40.4,43,-9
2022-11-07,N,Long Beach St.,BW,Cal Baptist,A,"W, 79-64",114.8,93.6,70.1,112.8,54,14.3,32.4,23.8,91.4,38.7,17.1,28.9,33.9,91.3,6
2022-11-07,N,Miami OH,MAC,Evansville,H,"L, 78-74",93.9,126.6,73,101.4,48.3,17.8,25.7,33.3,106.8,52.5,16.4,27.3,33.3,3.1,-6
2022-11-07,N,DePaul,BE,Loyola MD,H,"W, 72-66",100.9,100.3,67.8,106.2,50,19.2,34.3,31,97.3,48.3,20.6,35,28.3,51.7,9
2022-11-07,N,Oklahoma St.,B12,UT Arlington,H,"W, 77-66",101.4,89.5,76.3,100.9,48.3,22.3,36.8,45,86.4,39,24.9,33.3,42.4,80.8,10
2022-11-07,N,Columbia,Ivy,Rutgers,A,"L, 75-35",63.4,93.8,73.6,47.6,24.5,34,23.1,46.8,102,48.6,15,35.6,19.4,1.1,-14
2022-11-07,N,Northwestern,B10,Chicago St.,H,"W, 85-54",106,83,70.9,119.9,51.8,19.8,37.1,57.1,76.2,32.5,16.9,28.6,28.6,94.3,13
2022-11-07,N,Rice,CUSA,Pepperdine,A,"L, 106-67",94.3,122.4,79.2,84.6,46,17.7,20,34.9,133.9,73.6,16.4,18.5,5.7,4.7,-6
2022-11-07,N,Holy Cross,Pat,Siena,H,"L, 75-68",89.9,108.1,73.9,92,49.2,18.9,22,39,101.4,58.3,20.3,19.4,38.9,10.7,-6
2022-11-07,N,Queens,ASun,Marshall,H,"W, 83-82",114.8,108.4,73.3,113.2,55.1,23.2,44.7,17.6,111.9,50.6,10.9,33.3,5.1,65.9,-1
2022-11-07,N,Michigan St.,B10,Northern Arizona,H,"W, 73-55",104.5,82.5,65.5,111.5,51.5,13.7,34.2,12.3,84,38.3,18.3,26.7,21.7,93.8,12
2022-11-07,N,Howard,MEAC,Kentucky,A,"L, 95-63",91.7,108.4,75.7,83.2,39.6,21.1,28.9,19.4,125.4,63.7,13.2,29.4,45.2,12.8,-15
2022-11-07,N,Virginia,ACC,North Carolina Centr,H,"W, 73-61",126.6,107.9,59.5,122.8,54.3,13.5,34.5,63.8,102.6,49.1,13.5,22.9,26.4,86.3,8
2022-11-07,N,Fordham,A10,Dartmouth,H,"W, 88-74",116.4,112.5,71.4,123.3,63.9,14,25,23,103.7,51.7,16.8,20,28.8,59.7,5
2022-11-07,N,Auburn,SEC,George Mason,H,"W, 70-52",102.6,77.1,70.3,99.6,36.6,12.8,44.9,40.8,74,43.8,27,27.8,14.3,96.4,12
2022-11-07,N,North Dakota,Sum,Incarnate Word,A,"W, 65-57",94.9,96.9,64,101.6,47,20.3,38.7,54,89.1,38.5,18.8,38.1,24.6,43.8,2
2022-11-07,N,Iowa St.,B12,IUPUI,H,"W, 88-39",97.7,71.5,71.8,122.6,56.5,19.5,45.5,37.1,54.3,35.7,40.4,21.2,38.1,97.3,13
2022-11-07,N,Kansas St.,B12,UT Rio Grande Valley,H,"W, 93-59",109.2,76.8,79.6,116.8,54.5,17.6,35,43.9,74.1,43.1,32.7,23.5,43.1,98.3,20
2022-11-07,N,Duke,ACC,Jacksonville,H,"W, 71-44",112.9,81.8,59.8,118.7,54.2,20.1,47.1,18.6,73.6,36.8,18.4,20,9.4,97.6,11
2022-11-07,N,Houston Christian,Slnd,FIU,A,"L, 77-66",94.7,99.1,74,89.1,48.4,29.7,35.9,7.8,104,52.3,18.9,34.3,18.2,37.3,4
2022-11-07,N,Evansville,MVC,Miami OH,A,"W, 78-74",104.1,99.6,73,106.8,52.5,16.4,27.3,33.3,101.4,48.3,17.8,25.7,33.3,62.3,6
2022-11-07,N,Utah St.,MWC,Utah Valley,H,"W, 75-58",109.7,82.6,72.1,104.1,51.6,13.9,27,25,80.5,35.2,12.5,15.9,32.8,96.3,6
2022-11-07,N,Kentucky,SEC,Howard,H,"W, 95-63",118.8,88.2,75.7,125.4,63.7,13.2,29.4,45.2,83.2,39.6,21.1,28.9,19.4,96.8,15
2022-11-07,N,Albany,AE,Towson,A,"L, 67-62",93.2,98.2,66.3,93.6,45.3,22.6,32.4,34,101.1,46.2,19.6,28.1,39.6,35.4,-6
2022-11-07,N,Northern Kentucky,Horz,Kent St.,H,"L, 79-57",98.1,117.9,64,89,34.2,18.7,43.2,36.7,123.4,66.4,17.2,28.1,29.1,10.8,-9
2022-11-07,N,Minnesota,B10,Western Michigan,H,"W, 61-60",88.1,93.9,63.9,95.4,51,25,37.8,45.1,93.9,40.6,15.6,37.8,5.8,32.5,6
2022-11-07,N,Youngstown St.,Horz,Canisius,A,"W, 92-81",114.8,99.9,80.3,114.5,61.9,24.9,41.9,23.9,100.8,48.6,12.4,18.6,24.6,83.2,11
2022-11-07,N,Bethune Cookman,SWAC,Iowa,A,"L, 89-58",79.5,101.7,74.5,77.9,38.6,21.5,23.3,10.6,119.5,59,14.8,32.4,20.9,5.6,-18
2022-11-07,N,La Salle,A10,Villanova,A,"L, 81-68",111.5,122.1,62.4,109,49.1,14.4,28.6,36.4,129.9,68.3,14.4,20.8,21.2,26,-13
2022-11-07,N,West Virginia,B12,Mount St. Mary's,H,"W, 76-59",106.4,93.3,69.5,109.4,54.4,25.9,50,33.3,84.9,41.8,24.5,30.2,41.8,81.9,9
2022-11-07,N,TCU,B12,Arkansas Pine Bluff,H,"W, 73-72",92.1,109.7,74.9,97.5,42.6,17.4,28.2,70.4,96.1,51.6,20,20,15.9,11.8,-5
2022-11-07,N,California,P12,UC Davis,H,"L, 75-65",94.4,107.8,70,92.8,42.9,20,31,23.8,107.1,53.6,18.6,34.4,41.1,17.8,-4
2022-11-07,N,Memphis,Amer,Vanderbilt,A,"W, 76-67",120.6,87.2,66.1,115,55.7,19.7,33.3,35.8,101.4,51.8,19.7,27.8,26.8,97.7,11
2022-11-07,N,Xavier,BE,Morgan St.,H,"W, 96-73",114.4,102.5,81.3,118.1,55.6,24.6,60,58.1,89.8,40.7,22.1,37,31.4,78,13
2022-11-07,N,Rutgers,B10,Columbia,H,"W, 75-35",88.8,60.9,73.6,102,48.6,15,35.6,19.4,47.6,24.5,34,23.1,46.8,98.7,14
2022-11-07,N,Florida Gulf Coast,ASun,USC,A,"W, 74-61",107.6,82.7,71.1,104,43.8,15.5,36.4,39.1,85.7,43.3,21.1,18.9,46.2,95.4,1
2022-11-07,N,UAB,CUSA,Alabama St.,H,"W, 111-70",118.7,102.8,83.5,133,60.2,13.2,32.4,70.3,83.8,37.5,18,29.1,21.1,84,15
2022-11-07,N,UC San Diego,BW,Seattle,H,"L, 85-71",109.9,136.7,66.3,107.1,51.9,13.6,20.7,39.6,128.3,56.9,10.6,36.8,27.7,7.5,-10
2022-11-07,N,Marquette,BE,Radford,H,"W, 79-69",99.3,86.8,79.7,99.1,50,22.6,25.7,42.4,86.6,45.2,18.8,20,31.7,82.3,9
2022-11-07,N,St. Francis PA,NEC,St. Bonaventure,A,"L, 71-58",96.5,112.3,63.7,91,42.3,18.8,28.6,40.4,111.4,49.2,11,32.4,33.9,14.9,-5
2022-11-07,N,Penn St.,B10,Winthrop,H,"W, 93-68",116.6,97.6,70.4,132.1,70,15.6,21.4,21.7,96.6,56.1,24.1,10.7,28.6,88.5,11
2022-11-07,N,Cornell,Ivy,Boston College,A,"L, 79-77",94.4,96.6,83.2,92.5,56.3,28.8,24.3,17.5,95,50,22.8,34.1,18.1,43.6,-3
2022-11-07,N,UT Rio Grande Valley,WAC,Kansas St.,A,"L, 93-59",84.2,107.8,79.6,74.1,43.1,32.7,23.5,43.1,116.8,54.5,17.6,35,43.9,5.5,-20
2022-11-07,N,Western Michigan,MAC,Minnesota,A,"L, 61-60",90.6,100.5,63.9,93.9,40.6,15.6,37.8,5.8,95.4,51,25,37.8,45.1,23.1,-6
2022-11-07,N,Incarnate Word,Slnd,North Dakota,H,"L, 65-57",84,102.3,64,89.1,38.5,18.8,38.1,24.6,101.6,47,20.3,38.7,54,9.3,-2
2022-11-07,N,Michigan,B10,Fort Wayne,H,"W, 75-56",100.1,81.5,72.8,103,53.9,11,12.1,14.1,76.9,35.9,19.2,30.6,9.9,91.4,12
2022-11-07,N,Navy,Pat,William & Mary,A,"W, 74-59",108,104.4,61.8,119.7,56.5,16.2,40.6,9.7,95.5,45.6,16.2,28.6,17.5,59.7,2
